year,province,baseline_2025_power_mw,provincial_share,target_total_power_mw,min_extendable_power_mw,max_extendable_power_mw,min_extendable_energy_mwh,max_extendable_energy_mwh,guard_active,lower_multiplier,upper_multiplier,national_cumulative_target_mw
2030,Fujian,746.015,0.00548540437143085,2029.5996174294144,0.0,2638.4795026582387,0.0,15830.877015949432,True,0.0,1.3,370000.0
2030,Jiangxi,1751.915,0.012881727846457882,4766.239303189416,0.0,6196.111094146241,0.0,37176.66656487745,True,0.0,1.3,370000.0
2030,Shandong,11210.0,0.0824264699821583,30497.79389339857,0.0,39647.132061418146,0.0,237882.79236850888,True,0.0,1.3,370000.0
2030,Henan,5000.0,0.03676470561202422,13602.94107644896,0.0,17683.823399383647,0.0,106102.94039630188,True,0.0,1.3,370000.0
2030,Hubei,1569.204,0.01153826462104217,4269.157909785603,0.0,5549.905282721284,0.0,33299.4316963277,True,0.0,1.3,370000.0
2030,Hunan,5317.517,0.03909938941838684,14466.77408480313,0.0,18806.80631024407,0.0,112840.83786146442,True,0.0,1.3,370000.0
2030,Guangdong,7317.268,0.05380344078085705,19907.273088917107,0.0,25879.45501559224,0.0,155276.73009355343,True,0.0,1.3,370000.0
2030,Guangxi,996.006,0.007323573475561959,2709.7221859579245,0.0,3522.6388417453018,0.0,21135.83305047181,True,0.0,1.3,370000.0
2030,Hainan,209.59,0.0015411029298448313,570.2080840425875,0.0,741.2705092553638,0.0,4447.623055532183,True,0.0,1.3,370000.0
2030,Chongqing,197.552,0.0014525882246133215,537.4576431069289,0.0,698.6949360390076,0.0,4192.169616234046,True,0.0,1.3,370000.0
2030,Sichuan,766.627,0.005636963193845858,2085.6763817229676,0.0,2711.379296239858,0.0,16268.275777439147,True,0.0,1.3,370000.0
2030,Guizhou,2053.685,0.015100624888965991,5587.231208917417,0.0,7263.400571592641,0.0,43580.40342955585,True,0.0,1.3,370000.0
2030,Yunnan,5000.0,0.03676470561202422,13602.94107644896,0.0,17683.823399383647,0.0,106102.94039630188,True,0.0,1.3,370000.0
2030,Tibet,197.882,0.0014550146951837154,538.3554372179747,0.0,699.862068383367,0.0,4199.1724103002025,True,0.0,1.3,370000.0
2030,Shaanxi,2517.058,0.01850777927567809,6847.878332000893,0.0,8902.24183160116,0.0,53413.450989606965,True,0.0,1.3,370000.0
2030,Gansu,6340.117,0.04661850701015803,17248.84759375847,0.0,22423.501871886012,0.0,134541.01123131608,True,0.0,1.3,370000.0
2030,Qinghai,4422.175,0.032515992407970644,12030.917190949138,0.0,15640.192348233879,0.0,93841.15408940328,True,0.0,1.3,370000.0
2030,Ningxia,8780.721,0.06456412452526378,23888.726074347596,0.0,31055.343896651877,0.0,186332.06337991127,True,0.0,1.3,370000.0
2030,Xinjiang,18800.0,0.13823529310121105,51147.058447448086,0.0,66491.1759816825,0.0,398947.0558900951,True,0.0,1.3,370000.0
2035,Beijing,89.707,0.0006596102892675713,316.6129388484342,0.0,411.59682050296453,0.0,2469.5809230177874,True,0.0,1.3,480000.0
2035,Tianjin,327.495,0.002408051452881974,1155.8646973833477,0.0,1502.624106598352,0.0,9015.744639590112,True,0.0,1.3,480000.0
2035,Hebei,6658.259,0.048957786404722155,23499.737474266632,0.0,30549.658716546623,0.0,183297.95229927974,True,0.0,1.3,480000.0
2035,Shanxi,3751.743,0.027586345385394517,13241.445784989368,0.0,17213.879520486178,0.0,103283.27712291706,True,0.0,1.3,480000.0
2035,InnerMongolia,20260.0,0.14897058713992214,71505.88182716262,0.0,92957.64637531141,0.0,557745.8782518684,True,0.0,1.3,480000.0
2035,Liaoning,982.154,0.0072217205351344065,3466.425856864515,0.0,4506.3536139238695,0.0,27038.121683543217,True,0.0,1.3,480000.0
2035,Jilin,677.251,0.004979786728089803,2390.2976294831055,0.0,3107.386918328037,0.0,18644.321509968224,True,0.0,1.3,480000.0
2035,Heilongjiang,700.832,0.005153176432697231,2473.524687694671,0.0,3215.582094003072,0.0,19293.492564018434,True,0.0,1.3,480000.0
2035,Shanghai,225.255,0.001656286752527303,795.0176412131054,0.0,1033.522933577037,0.0,6201.137601462222,True,0.0,1.3,480000.0
2035,Jiangsu,10544.137,0.07753041854757045,37214.600902833816,0.0,48378.98117368396,0.0,290273.8870421038,True,0.0,1.3,480000.0
2035,Zhejiang,5181.171,0.03809684530811143,18286.485747893486,0.0,23772.431472261535,0.0,142634.5888335692,True,0.0,1.3,480000.0
2035,Anhui,3408.665,0.025063713051002107,12030.58226448101,0.0,15639.756943825314,0.0,93838.54166295189,True,0.0,1.3,480000.0
2035,Fujian,746.015,0.00548540437143085,2632.994098286808,0.0,3422.8923277728504,0.0,20537.353966637103,True,0.0,1.3,480000.0
2035,Jiangxi,1751.915,0.012881727846457882,6183.229366299784,0.0,8038.198176189719,0.0,48229.18905713831,True,0.0,1.3,480000.0
