year,province,share_historical,national_target_mw,target_source,guard_active,allocated_min_total_mw,allocated_max_total_mw,allow_underbuild_only
2025,Anhui,0.04834347952862863,1124888.0,historical_cumulative_2025,True,0.0,54381.0,True
2025,Beijing,0.001711281478689434,1124888.0,historical_cumulative_2025,True,0.0,1925.0,True
2025,Chongqing,0.004786254275981254,1124888.0,historical_cumulative_2025,True,0.0,5384.000000000001,True
2025,Fujian,0.014522334667984724,1124888.0,historical_cumulative_2025,True,0.0,16336.0,True
2025,Gansu,0.03243078422029571,1124888.0,historical_cumulative_2025,True,0.0,36481.0,True
2025,Guangdong,0.052351878587023774,1124888.0,historical_cumulative_2025,True,0.0,58890.0,True
2025,Guangxi,0.02629861817354261,1124888.0,historical_cumulative_2025,True,0.0,29583.0,True
2025,Guizhou,0.024609561129641352,1124888.0,historical_cumulative_2025,True,0.0,27683.0,True
2025,Hainan,0.008425727716892704,1124888.0,historical_cumulative_2025,True,0.0,9478.0,True
2025,Hebei,0.07247032593467083,1124888.0,historical_cumulative_2025,True,0.0,81521.0,True
2025,Heilongjiang,0.007676319775835461,1124888.0,historical_cumulative_2025,True,0.0,8635.0,True
2025,Henan,0.046738875336922434,1124888.0,historical_cumulative_2025,True,0.0,52576.0,True
2025,Hubei,0.03878163870536445,1124888.0,historical_cumulative_2025,True,0.0,43625.0,True
2025,Hunan,0.02326542731365256,1124888.0,historical_cumulative_2025,True,0.0,26171.0,True
2025,InnerMongolia,0.0452551720704639,1124888.0,historical_cumulative_2025,True,0.0,50907.0,True
2025,Jiangsu,0.07655428807134577,1124888.0,historical_cumulative_2025,True,0.0,86115.0,True
2025,Jiangxi,0.024987376521040317,1124888.0,historical_cumulative_2025,True,0.0,28108.0,True
2025,Jilin,0.006233509469387175,1124888.0,historical_cumulative_2025,True,0.0,7012.0,True
2025,Liaoning,0.013437782250321809,1124888.0,historical_cumulative_2025,True,0.0,15115.999999999998,True
2025,Ningxia,0.031384457830468455,1124888.0,historical_cumulative_2025,True,0.0,35304.0,True
2025,Qinghai,0.034391868346004224,1124888.0,historical_cumulative_2025,True,0.0,38687.0,True
2025,Shaanxi,0.036010696175974855,1124888.0,historical_cumulative_2025,True,0.0,40508.0,True
2025,Shandong,0.0815441181699867,1124888.0,historical_cumulative_2025,True,0.0,91728.0,True
2025,Shanghai,0.005079616815185156,1124888.0,historical_cumulative_2025,True,0.0,5714.0,True
2025,Shanxi,0.04297850097076331,1124888.0,historical_cumulative_2025,True,0.0,48346.0,True
2025,Sichuan,0.0145676725149526,1124888.0,historical_cumulative_2025,True,0.0,16387.0,True
2025,Tianjin,0.008779540718720441,1124888.0,historical_cumulative_2025,True,0.0,9876.0,True
2025,Tibet,0.004790699162938888,1124888.0,historical_cumulative_2025,True,0.0,5389.0,True
2025,Xinjiang,0.07108263222649722,1124888.0,historical_cumulative_2025,True,0.0,79960.0,True
2025,Yunnan,0.046232158223752054,1124888.0,historical_cumulative_2025,True,0.0,52006.0,True
2025,Zhejiang,0.05427740361707121,1124888.0,historical_cumulative_2025,True,0.0,61056.0,True
2030,Anhui,0.04834347952862863,2834639.9624391412,national_capacity_csv,True,0.0,137036.35899520924,True
2030,Beijing,0.001711281478689434,2834639.9624391412,national_capacity_csv,True,0.0,4850.866866475016,True
2030,Chongqing,0.004786254275981254,2834639.9624391412,national_capacity_csv,True,0.0,13567.30764109168,True
2030,Fujian,0.014522334667984724,2834639.9624391412,national_capacity_csv,True,0.0,41165.590197784855,True
2030,Gansu,0.03243078422029571,2834639.9624391412,national_capacity_csv,True,0.0,91929.59696409092,True
2030,Guangdong,0.052351878587023774,2834639.9624391412,national_capacity_csv,True,0.0,148398.72715153956,True
2030,Guangxi,0.02629861817354261,2834639.9624391412,national_capacity_csv,True,0.0,74547.11403165215,True
2030,Guizhou,0.024609561129641352,2834639.9624391412,national_capacity_csv,True,0.0,69759.24543617031,True
2030,Hainan,0.008425727716892704,2834639.9624391412,national_capacity_csv,True,0.0,23883.904498935168,True
2030,Hebei,0.07247032593467083,2834639.9624391412,national_capacity_csv,True,0.0,205427.28198540764,True
2030,Heilongjiang,0.007676319775835461,2834639.9624391412,national_capacity_csv,True,0.0,21759.60280104507,True
2030,Henan,0.046738875336922434,2834639.9624391412,national_capacity_csv,True,0.0,132487.88382950152,True
2030,Hubei,0.03878163870536445,2834639.9624391412,national_capacity_csv,True,0.0,109931.98288310262,True
2030,Hunan,0.02326542731365256,2834639.9624391412,national_capacity_csv,True,0.0,65949.11000650267,True
2030,InnerMongolia,0.0452551720704639,2834639.9624391412,national_capacity_csv,True,0.0,128282.11925799667,True
2030,Jiangsu,0.07655428807134577,2834639.9624391412,national_capacity_csv,True,0.0,217003.8442631148,True
2030,Jiangxi,0.024987376521040317,2834639.9624391412,national_capacity_csv,True,0.0,70830.2160430544,True
2030,Jilin,0.006233509469387175,2834639.9624391412,national_capacity_csv,True,0.0,17669.75504816769,True
2030,Liaoning,0.013437782250321809,2834639.9624391412,national_capacity_csv,True,0.0,38091.27457331757,True
2030,Ningxia,0.031384457830468455,2834639.9624391412,national_capacity_csv,True,0.0,88963.63836573191,True
2030,Qinghai,0.034391868346004224,2834639.9624391412,national_capacity_csv,True,0.0,97488.5643965293,True
2030,Shaanxi,0.036010696175974855,2834639.9624391412,national_capacity_csv,True,0.0,102077.35845567269,True
2030,Shandong,0.0815441181699867,2834639.9624391412,national_capacity_csv,True,0.0,231148.216066504,True
2030,Shanghai,0.005079616815185156,2834639.9624391412,national_capacity_csv,True,0.0,14398.88481820168,True
