year,wind_capacity_mw,solar_capacity_mw,vre_capacity_mw,total_tracked_capacity_mw,vre_capacity_penetration
2027,45135.240966966405,156379.82832469387,201515.06929166027,510655.29463233915,0.39462054229114923
2028,53791.01260790399,188705.74248704078,242496.7550949448,558530.7337590727,0.43416904466988193
2029,62446.78424884158,221031.65664938773,283478.4408982293,606406.1728858063,0.46747288133495263
2030,71102.55588977918,253357.57081173465,324460.12670151383,654281.6120125398,0.49590286620388063
2031,80625.81563123314,268828.6052697267,349454.42090095987,683209.4595574818,0.5114894356517008
2032,90149.07537268712,284299.6397277188,374448.7151004059,712137.3071024239,0.5258097158594031
2033,99672.33511414108,299770.6741857108,399443.00929985184,741065.1546473659,0.5390119975212245
2034,109195.59485559505,315241.70864370285,424437.3034992979,769993.002192308,0.5512222868140995
2035,118718.85459704902,330712.7431016949,449431.5976987439,798920.84973725,0.5625483398593909
