year,price_type,neg_hours,negative_price_frequency,min_cny_mwh,mean_cny_mwh
2025,marginal,0,0.0,3.675904190034134e-05,251.54627332266926
2025,mapped,1633,0.18641552511415524,-80.0,139.73197595350769
2030,marginal,1963,0.22408675799086758,-79.99999846890996,115.13728846568708
2030,mapped,2045,0.2334474885844749,-80.0,158.39704173222398
2035,marginal,1896,0.21643835616438356,-79.99999904490942,94.35398644639398
2035,mapped,2858,0.3262557077625571,-80.0,132.4405650428044
