snapshot,province,load_mw,min_output_floor_mw,thermal_stage1_mw,min_output_deficit_mw,min_output_binding,vre_stage1_mw,vre_curtailment_total_mw,thermal_stage2_mw,vre_stage2_mw,onwind_stage1_mw,onwind_curtailment_mw,onwind_stage2_mw,offwind_stage1_mw,offwind_curtailment_mw,offwind_stage2_mw,solar_stage1_mw,solar_curtailment_mw,solar_stage2_mw
2025-01-01 00:00:00,Shandong,90139.15811608819,9013.91581160882,109133.03627096016,0.0,False,4340.682624875733,0.0,109133.03627096016,4340.682624875733,3248.3973247815798,0.0,3248.3973247815798,1092.2853000941532,0.0,1092.2853000941532,0.0,0.0,0.0
2025-01-01 01:00:00,Shandong,89567.97178355232,8956.797178355233,105258.60264652353,0.0,False,3989.567636051389,0.0,105258.60264652353,3989.567636051389,2955.2941371532393,0.0,2955.2941371532393,1034.2734988981495,0.0,1034.2734988981495,0.0,0.0,0.0
2025-01-01 02:00:00,Shandong,89187.84359410292,8918.784359410292,102501.73051439086,0.0,False,3537.587366472215,0.0,102501.73051439086,3537.587366472215,2599.6628298493424,0.0,2599.6628298493424,937.9245366228727,0.0,937.9245366228727,0.0,0.0,0.0
2025-01-01 03:00:00,Shandong,87628.67686133919,8762.867686133919,98351.37197328868,0.0,False,3047.1872369485827,0.0,98351.37197328868,3047.1872369485827,2209.218976533595,0.0,2209.218976533595,837.9682604149875,0.0,837.9682604149875,0.0,0.0,0.0
2025-01-01 04:00:00,Shandong,86068.19233107634,8606.819233107633,95071.55622646684,0.0,False,2605.4718324293676,0.0,95071.55622646684,2605.4718324293676,1891.9513639647666,0.0,1891.9513639647666,713.5204684646009,0.0,713.5204684646009,0.0,0.0,0.0
2025-01-01 05:00:00,Shandong,90656.72140803692,9065.672140803692,98468.38222451456,0.0,False,2174.1789101169293,0.0,98468.38222451456,2174.1789101169293,1611.7597022502762,0.0,1611.7597022502762,562.419207866653,0.0,562.419207866653,0.0,0.0,0.0
2025-01-01 06:00:00,Shandong,93950.95578142114,9395.095578142114,101097.48158623982,0.0,False,1684.9998679092105,0.0,101097.48158623982,1684.9998679092105,1370.2554839488375,0.0,1370.2554839488375,314.74438396037283,0.0,314.74438396037283,0.0,0.0,0.0
2025-01-01 07:00:00,Shandong,100622.29821426496,10062.229821426496,108466.93814881446,0.0,False,1470.578859376423,0.0,108466.93814881446,1470.578859376423,1216.4574527766804,0.0,1216.4574527766804,254.12140659974267,0.0,254.12140659974267,0.0,0.0,0.0
2025-01-01 08:00:00,Shandong,103209.5251276192,10320.95251276192,112723.01311883659,0.0,False,5482.770089041116,0.0,112723.01311883659,5482.770089041116,1191.462266870549,0.0,1191.462266870549,238.12786786291633,0.0,238.12786786291633,4053.1799543076513,0.0,4053.1799543076513
2025-01-01 09:00:00,Shandong,92839.32777348034,9283.932777348035,86530.96045287736,0.0,False,21349.978497359658,0.0,86530.96045287736,21349.978497359658,424.6919221098592,0.0,424.6919221098592,206.81433606874924,0.0,206.81433606874924,20718.47223918105,0.0,20718.47223918105
