year,weekly40_neg_hours,weekly40_frequency,weekly45_frequency,weekly50_frequency,thermal_mean_mw,thermal_min_mw,thermal_max_mw
2025,969,0.11061643835616439,0.182648401826484,0.22009132420091324,77133.11250314568,7831.2047993702845,152716.83933208685
2030,1451,0.1656392694063927,0.18573059360730593,0.21141552511415526,75716.47957638126,0.24883112854277925,162824.55067728963
2035,2333,0.266324200913242,0.28812785388127854,0.30901826484018263,70707.9555820124,0.4072234091905862,171453.61787572075
