year,load_mean_mw,ded_mean_mw,ded_max_mw,hours_ded_gt_load,freq_ded_gt_load,hours_net_zero,freq_net_zero,net_load_min_mw,net_load_mean_mw,min_sync_floor_mean_mw
2025,109771.04348374433,17123.28767123288,167587.63193305122,97,0.011073059360730594,97,0.011073059360730594,0.0,92830.84705659373,9283.084705659372
2030,125365.44236700804,17123.287671232876,163804.9990000663,41,0.0046803652968036525,41,0.0046803652968036525,0.0,108297.91724251106,10829.791724251105
2035,138519.3817323602,17123.287671232876,172381.23004057768,16,0.0018264840182648401,16,0.0018264840182648401,0.0,121424.5075419733,12142.45075419733
