snapshot,province,load_mw,min_output_floor_mw,thermal_stage1_mw,min_output_deficit_mw,min_output_binding,vre_stage1_mw,vre_curtailment_total_mw,thermal_stage2_mw,vre_stage2_mw,onwind_stage1_mw,onwind_curtailment_mw,onwind_stage2_mw,offwind_stage1_mw,offwind_curtailment_mw,offwind_stage2_mw,solar_stage1_mw,solar_curtailment_mw,solar_stage2_mw
2035-01-01 00:00:00,Shandong,111546.61512273097,11154.661512273098,126376.36832842357,0.0,False,19957.216380568796,0.0,126376.36832842357,19957.216380568796,12404.17125737402,0.0,12404.17125737402,7553.045123194777,0.0,7553.045123194777,0.0,0.0,0.0
2035-01-01 01:00:00,Shandong,111115.376909776,11111.5376909776,124856.37820720332,0.0,False,18436.842150475597,0.0,124856.37820720332,18436.842150475597,11284.94237122626,0.0,11284.94237122626,7151.8997792493365,0.0,7151.8997792493365,0.0,0.0,0.0
2035-01-01 02:00:00,Shandong,111012.20360682612,11101.220360682613,123273.81974213052,0.0,False,16412.603945248906,0.0,123273.81974213052,16412.603945248906,9926.946823973914,0.0,9926.946823973914,6485.6571212749905,0.0,6485.6571212749905,0.0,0.0,0.0
2035-01-01 03:00:00,Shandong,109400.70760026874,10940.070760026874,123273.81967675532,0.0,False,14230.488738198455,0.0,123273.81967675532,14230.488738198455,8436.01810857515,0.0,8436.01810857515,5794.470629623306,0.0,5794.470629623306,0.0,0.0,0.0
2035-01-01 04:00:00,Shandong,107751.50648803957,10775.150648803958,123273.81974383364,0.0,False,12158.443696939736,0.0,123273.81974383364,12158.443696939736,7224.516182068121,0.0,7224.516182068121,4933.927514871614,0.0,4933.927514871614,0.0,0.0,0.0
2035-01-01 05:00:00,Shandong,113833.07263951063,11383.307263951065,123273.8198762366,0.0,False,10043.669238183233,0.0,123273.8198762366,10043.669238183233,6154.590650064954,0.0,6154.590650064954,3889.0785881182787,0.0,3889.0785881182787,0.0,0.0,0.0
2035-01-01 06:00:00,Shandong,118301.68337102713,11830.168337102714,123442.29456050941,0.0,False,7408.828466087107,0.0,123442.29456050941,7408.828466087107,5232.395008813705,0.0,5232.395008813705,2176.433457273401,0.0,2176.433457273401,0.0,0.0,0.0
2035-01-01 07:00:00,Shandong,126793.14984505104,12679.314984505105,123447.52674921558,0.0,False,6402.341676059505,0.0,123447.52674921558,6402.341676059505,4645.109749888006,0.0,4645.109749888006,1757.231926171498,0.0,1757.231926171498,0.0,0.0,0.0
2035-01-01 08:00:00,Shandong,129769.99363736084,12976.999363736084,123418.97258929198,0.0,False,20809.491961077136,0.0,123418.97258929198,20809.491961077136,4549.664257331862,0.0,4549.664257331862,1646.6380692627852,0.0,1646.6380692627852,14613.189634482487,0.0,14613.189634482487
2035-01-01 09:00:00,Shandong,101595.84749852229,10159.584749852229,107874.00195441367,0.0,False,77749.43857060713,0.0,107874.00195441367,77749.43857060713,1621.7129323629829,0.0,1621.7129323629829,1430.1074053348605,0.0,1430.1074053348605,74697.61823290928,0.0,74697.61823290928
