年份,地区,新能源渗透率,wind_spot_price_cny_per_kwh,solar_spot_price_cny_per_kwh,全年负电价频率,风电度电收益_存量,光伏度电收益_存量,风电度电收益_增量,光伏度电收益_增量
2027,山东,0.3946205422911492,0.17419902479156266,0.08994865399343324,0.08977168949771686,0.3507598049583125,0.25028459619802995,0.21483980495831256,0.19798973079868668
2028,山东,0.4341690446698819,0.1763445510896078,0.07537802177756912,0.11125570776255703,0.35118891021792153,0.24591340653327073,0.21526891021792158,0.19507560435551385
2029,山东,0.4674728813349526,0.17849007738765293,0.060807389561705005,0.1327397260273972,0.3516180154775306,0.2415422168685115,0.21569801547753062,0.19216147791234103
2030,山东,0.4959028662038806,0.18063560368569806,0.04623675734584088,0.1542237442922374,0.3520471207371396,0.23717102720375227,0.21612712073713963,0.18924735146916818
2031,山东,0.5114894356517008,0.17292074809124844,0.03836767468301908,0.17123287671232873,0.35050414961824966,0.23481030240490572,0.2145841496182497,0.18767353493660383
2032,山东,0.5258097158594031,0.16520589249679882,0.030498592020197286,0.18824200913242004,0.34896117849935976,0.2324495776060592,0.21304117849935977,0.18609971840403947
2033,山东,0.5390119975212245,0.15749103690234922,0.02262950935737549,0.20525114155251137,0.3474182073804698,0.23008885280721264,0.21149820738046987,0.1845259018714751
2034,山东,0.5512222868140995,0.1497761813078996,0.014760426694553692,0.22226027397260267,0.3458752362615799,0.22772812800836612,0.20995523626157994,0.18295208533891075
2035,山东,0.5625483398593909,0.14206132571344998,0.006891344031731896,0.239269406392694,0.34433226514269,0.22536740320951956,0.20841226514269,0.1813782688063464
