threshold,neg_hours,frequency
0.3,21,0.002397260273972603
0.32,77,0.008789954337899543
0.34,429,0.04897260273972603
0.35,577,0.0658675799086758
0.36,811,0.09257990867579909
0.37,1180,0.13470319634703196
0.38,1392,0.1589041095890411
0.39,1569,0.1791095890410959
0.4,1737,0.19828767123287672
0.41,1886,0.21529680365296805
0.42,1996,0.2278538812785388
0.43,2104,0.2401826484018265
0.44,2235,0.2551369863013699
0.45,2356,0.26894977168949774
