year,threshold,low_output_hours,low_output_freq,mapped_neg_hours,mapped_neg_freq,thermal_mean_mw,thermal_p10_mw,thermal_p50_mw,thermal_weekmax_mean_mw,cutoff_mean_mw,share_thermal_below_20gw,share_thermal_below_30gw
2025,0.4,1469,0.16769406392694064,1633,0.18641552511415524,78817.72432901271,47250.63259466004,79104.9984691386,120232.24432711971,52902.187503932684,0.0,0.0
2030,0.4,1461,0.16678082191780821,1523,0.17385844748858448,79063.81171038625,32631.23518477146,79961.09260106209,122246.20448587529,53788.329973785134,0.06700913242009132,0.09429223744292238
2035,0.4,2334,0.26643835616438355,2420,0.2762557077625571,75532.25516736157,15937.338534381572,84272.42468146971,125312.40339492023,55137.4574937649,0.11700913242009132,0.1639269406392694
