Month,Aluminum Smelter_15p,Coal Power_15p,Gas Power_15p,Aluminum Smelter_non_flexible,Coal Power_non_flexible,Gas Power_non_flexible,Coal Power_difference,Coal Power_percent_diff,Gas Power_difference,Gas Power_percent_diff,Aluminum Smelter_difference,Aluminum Smelter_percent_diff
1,25.422095682505216,264.97499878772993,16.860688962591006,180.18,265.52029160614387,16.850639695781236,-0.545292818413941,-0.2053676632830737,0.010049266809769364,0.05963730155766917,-154.7579043174948,-85.8907227869324
2,32.59767874717888,122.42753826449032,16.02913007127305,180.18,128.49723691911055,16.498917482864186,-6.069698654620225,-4.723602468153554,-0.46978741159113824,-2.847383242440363,-147.58232125282112,-81.90827020358591
3,218.0816501270091,65.5012891236944,9.12583059590446,180.18,68.01925487381003,9.144090337471948,-2.5179657501156214,-3.7018425955811716,-0.018259741567486998,-0.19968898921153092,37.901650127009106,21.03543685592691
4,254.0999723189184,29.045733228930256,2.150296141177771,180.18,29.121520698658816,2.132835056728514,-0.0757874697285601,-0.2602455775328054,0.01746108444925687,0.818679550215189,73.91997231891838,41.025625662625366
5,254.09263257257234,30.09496508734636,2.016915859391122,180.18,30.115926947829823,2.0163030787933804,-0.020961860483463823,-0.06960390267839439,0.0006127805977413914,0.03039129405625362,73.91263257257233,41.021552099329746
6,253.95540497932936,36.83321899106206,2.0175006497446306,180.18,37.72352459325402,2.016468705817041,-0.8903056021919582,-2.360080644084802,0.0010319439275896514,0.051175796808189206,73.77540497932935,40.9453907089185
7,249.86484014322255,124.71856007204933,14.660500011954603,180.18,121.5075970131944,14.370948421832955,3.2109630588549294,2.6426027160312073,0.28955159012164877,2.014839811697812,69.68484014322254,38.675124954613466
8,250.7731084189141,93.51681501252703,12.188206225624668,180.18,92.51122157092729,10.510683274452717,1.0055934415997427,1.0869961768138212,1.6775229511719516,15.960170308331348,70.59310841891408,39.179214351711664
9,251.54642030753635,86.10156489433875,12.415695941252553,180.18,85.51441697832897,12.337432144539383,0.5871479160097834,0.6866069333766004,0.07826379671316985,0.6343605038412297,71.36642030753634,39.608402879085546
10,251.7066173669164,39.107803265898475,3.5611085470797534,180.18,39.28766659087923,3.5408421185657497,-0.17986332498075797,-0.45781116718831516,0.02026642851400373,0.5723618234131499,71.52661736691638,39.697312335950926
11,148.42701912772583,101.49593290722343,9.85848287081544,180.18,102.86262589192212,9.698207722694235,-1.3666929846986875,-1.328658463507118,0.16027514812120458,1.6526264718598842,-31.75298087227418,-17.622922007034177
12,25.4219911866593,188.9687936748254,15.124288018724885,180.18,192.30807436467563,15.11774095998663,-3.339280689850227,-1.7364225089779213,0.006547058738254563,0.04330712343585727,-154.7580088133407,-85.89078078218486
